model/no_gan,model/launch_tensorboard,model/gpu,model/dis_noise,enc_loss,model/tb_compare,model/kl_div_loss_weight,model/train_gan_cadence,kl_divergence,model/train_vae_cadence,dis_loss,model/input_repeats,model/dev_step,model/voxel_prob_threshold,elapsed_time,dataset/index,model/tb_dir,generator/pad,model/save_step,generator/verbose,model/learning_rate,model/ll_weight,model/ckpt_dir,model/debug,model/dec_lr,dec_loss,model/voxels_dim,cfg,model/dec_weight,vaegan,model/batch_size,model/epochs,dataset/splits,model/latent_dim,model/recon_loss_weight,dataset/categories,dataset/class,model/keep_prob,reconstruction_loss,model/display_step,model/adaptive_lr,model/verbose,model/enc_lr,log,model/monitor_memory,ll_loss,model/dis_lr
False,True,nan,nan,nan,"[['best_sofa_and_toilet', '/home/jcworkma/jack/3d-form/models/voxel_vaegan1/modelnet10/2019-03-15_17-08-43/tb']]",1,nan,nan,nan,nan,1,2,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_sofa_index.csv,tb,True,1,True,0.0001,nan,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-23-48,True,nan,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-23-48/cfg.json,nan,True,32,2,True,100,10000,nan,ModelNet10,0.8,nan,6000,nan,True,nan,/home/jcworkma/jack/3d-form/src/logs/2019-03-16_12-23__root.log,nan,nan,nan
False,True,nan,nan,nan,"[['best_vaegan', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_08-40-29/tb']]",100,nan,nan,nan,nan,1,10,0.065,103.16,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_08-11-12,False,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_08-11-12/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,nan,1,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-18_08-11__root.log,True,nan,0.0001
True,True,True,0,nan,nan,0.1,1,nan,1,nan,1,5,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_64_index.csv,tb,True,5,True,nan,1,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-04-11_19-44-14,True,0.0001,nan,64,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-04-11_19-44-14/cfg.json,100,False,32,200,True,100,10000,"['bathtub', 'bed', 'chair', 'dresser', 'monitor', 'night_stand', 'sofa', 'table', 'toilet']",ModelNet10,0.8,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-04-11_19-44__root.log,True,nan,0.0001
False,True,nan,nan,nan,"[['best_sofa_and_toilet', '/home/jcworkma/jack/3d-form/models/voxel_vaegan1/modelnet10/2019-03-15_17-08-43/tb']]",1,nan,nan,nan,nan,1,2,0.065,1.48,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_sofa_index.csv,tb,True,1,True,0.0001,nan,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-35-40,True,nan,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-35-40/cfg.json,nan,True,32,2,True,100,10000,nan,ModelNet10,0.8,nan,6000,nan,True,nan,/home/jcworkma/jack/3d-form/src/logs/2019-03-16_12-35__root.log,nan,nan,nan
False,True,nan,nan,nan,"[['vaegan_100epochs_toilets', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_13-12-53/tb']]",100,nan,nan,nan,nan,1,10,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-19_14-01-28,False,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-19_14-01-28/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,nan,1,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-19_14-01__root.log,True,nan,0.0001
True,True,True,0,52.38865661621094,nan,0.1,1,156.2735595703125,1,-999.0,1,5,0.065,3440.1546904881793,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_64_index.csv,tb,True,5,True,nan,1,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-04-09_05-32-25,True,0.0001,-999.0,64,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-04-09_05-32-25/cfg.json,100,False,32,200,True,100,10000,"['bathtub', 'bed', 'chair', 'dresser', 'monitor', 'night_stand', 'sofa', 'table', 'toilet']",ModelNet10,0.8,0.003676129737868905,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-04-09_05-32__root.log,True,-999.0,0.0001
False,True,nan,nan,33.1042366027832,"[['vaegan_100epochs_toilets', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_13-12-53/tb']]",100,nan,0.19696705043315887,nan,6.330704689025879,1,10,0.065,112.58260242541631,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-19_14-25-04,False,0.0001,82.68489074707031,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-19_14-25-04/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,0.0992753654718399,1,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-19_14-25__root.log,True,13407.5322265625,0.0001
False,True,nan,nan,nan,"[['best_sofa_and_toilet', '/home/jcworkma/jack/3d-form/models/voxel_vaegan1/modelnet10/2019-03-15_17-08-43/tb']]",1,nan,nan,nan,nan,1,2,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_sofa_index.csv,tb,True,5,True,0.0001,nan,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_08-46-28,True,nan,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_08-46-28/cfg.json,nan,True,32,100,True,100,10000,nan,ModelNet10,0.8,nan,6000,nan,True,nan,/home/jcworkma/jack/3d-form/src/logs/2019-03-16_08-46__root.log,nan,nan,nan
False,True,nan,nan,15.197393417358398,"[['first_vaegan', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-42-35/tb']]",100,nan,0.02244419977068901,nan,4.714500427246094,1,2,0.065,273.7490278363228,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_08-40-29,True,0.0001,45.47517395019531,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_08-40-29/cfg.json,100,True,32,50,True,100,10000,nan,ModelNet10,0.8,0.05653519928455353,6000,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-17_08-40__root.log,nan,12952.97265625,0.0001
False,True,nan,nan,nan,"[['best_sofa_and_toilet', '/home/jcworkma/jack/3d-form/models/voxel_vaegan1/modelnet10/2019-03-15_17-08-43/tb']]",1,nan,nan,nan,nan,1,2,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_sofa_index.csv,tb,True,1,True,0.0001,nan,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-20-25,True,nan,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-20-25/cfg.json,nan,True,32,2,True,100,10000,nan,ModelNet10,0.8,nan,6000,nan,True,nan,/home/jcworkma/jack/3d-form/src/logs/2019-03-16_12-20__root.log,nan,nan,nan
